class_ratio,variant,mean_spearman,mean_topk_overlap,mean_cosine,n_folds,model
0.1,magnitude,0.8576983177365689,0.6240000000000001,0.8740437318627028,25,tree
0.3,magnitude,0.7920473263691019,0.648,0.8859752963708005,25,tree
0.5,magnitude,0.8103392759774114,0.624,0.8919615174027318,25,tree
0.1,directional,0.3903162506853381,0.6240000000000001,0.7909640524306836,25,tree
0.3,directional,0.4439511261810261,0.648,0.8362035055973444,25,tree
0.5,directional,0.3895751428875635,0.624,0.8282658503857911,25,tree
0.1,magnitude,0.8126741253274019,0.56,0.8326517710159698,25,linear
0.3,magnitude,0.8262282880014524,0.5760000000000001,0.8544533970079327,25,linear
0.5,magnitude,0.8005986272339015,0.6080000000000001,0.8660557955731935,25,linear
0.1,directional,0.3780797988497313,0.56,0.7132218710776727,25,linear
0.3,directional,0.4002787349696474,0.5760000000000001,0.7495051523621509,25,linear
0.5,directional,0.4424811096784443,0.6080000000000001,0.7781839531800003,25,linear
