class_ratio,method,variant,mean_rank_corr_tree,mean_magnitude_var_tree,mean_rank_corr_linear,mean_magnitude_var_linear,mean_rank_corr_delta_linear_minus_tree,mean_magnitude_var_delta_linear_minus_tree
0.1,shap,magnitude,0.6507402101197136,0.000202989133368,0.8097528644456194,0.0001070762555781,0.15901265432590583,-9.591287778990001e-05
0.3,shap,magnitude,0.8371109078225174,5.130067230359325e-05,0.9066576767142605,1.4519644238624536e-05,0.06954676889174305,-3.678102806496871e-05
0.5,shap,magnitude,0.7111980973898923,0.0001011724790963,0.8306733650625769,4.125081934961289e-05,0.11947526767268468,-5.992165974668711e-05
0.1,pfi,magnitude,0.5852602951752508,9.74535981960069e-05,0.643555036163415,8.322045093590371e-05,0.05829474098816423,-1.4233147260103197e-05
0.3,pfi,magnitude,0.6927485417571101,3.5378253115509474e-05,0.7597873711388473,4.108952918087656e-05,0.06703882938173722,5.711276065367086e-06
0.5,pfi,magnitude,0.6000119993576323,6.272867344898652e-05,0.6748267653561973,4.331069367202804e-05,0.07481476599856507,-1.941797977695848e-05
0.1,shap,directional,0.6507402101197136,0.000202989133368,0.8097528644456194,0.0001070762555781,0.15901265432590583,-9.591287778990001e-05
0.3,shap,directional,0.8371109078225174,5.130067230359325e-05,0.9066576767142605,1.4519644238624536e-05,0.06954676889174305,-3.678102806496871e-05
0.5,shap,directional,0.7111980973898923,0.0001011724790963,0.8306733650625769,4.125081934961289e-05,0.11947526767268468,-5.992165974668711e-05
0.1,pfi,directional,0.4934032406649188,0.0001581111513756,0.5869289317060699,0.0001553847027761,0.09352569104115105,-2.726448599499982e-06
0.3,pfi,directional,0.620237627576577,6.030612439314609e-05,0.6710383957536736,8.777805455949002e-05,0.05080076817709667,2.7471930166343934e-05
0.5,pfi,directional,0.5634774344651172,9.893935819029778e-05,0.6383761791233731,8.350833321045879e-05,0.07489874465825586,-1.5431024979838993e-05
