class_ratio,method,variant,mean_rank_corr,mean_topk_overlap,mean_magnitude_var,mean_dispersion,n_folds,model
0.1,shap,magnitude,0.6507402101197136,0.6086666666666667,0.000202989133368,0.9362688756900016,25,tree
0.3,shap,magnitude,0.8371109078225174,0.7819999999999999,5.130067230359325e-05,0.9427898158547804,25,tree
0.5,shap,magnitude,0.7111980973898923,0.7099999999999999,0.0001011724790963,0.9374216011884892,25,tree
0.1,shap,directional,0.6507402101197136,0.6086666666666667,0.000202989133368,0.9362688756900016,25,tree
0.3,shap,directional,0.8371109078225174,0.7819999999999999,5.130067230359325e-05,0.9427898158547804,25,tree
0.5,shap,directional,0.7111980973898923,0.7099999999999999,0.0001011724790963,0.9374216011884892,25,tree
0.1,pfi,magnitude,0.5852602951752508,0.5593333333333333,9.74535981960069e-05,0.9487558299548096,25,tree
0.3,pfi,magnitude,0.6927485417571101,0.7279999999999999,3.5378253115509474e-05,0.952542449180847,25,tree
0.5,pfi,magnitude,0.6000119993576323,0.7153333333333333,6.272867344898652e-05,0.9464113322538232,25,tree
0.1,pfi,directional,0.4934032406649188,0.5593333333333333,0.0001581111513756,0.9275024155106212,25,tree
0.3,pfi,directional,0.620237627576577,0.7279999999999999,6.030612439314609e-05,0.9365036625673137,25,tree
0.5,pfi,directional,0.5634774344651172,0.7153333333333333,9.893935819029778e-05,0.9258337390481844,25,tree
0.1,shap,magnitude,0.8097528644456194,0.7286666666666666,0.0001070762555781,0.9424249938823376,25,linear
0.3,shap,magnitude,0.9066576767142605,0.8986666666666667,1.4519644238624536e-05,0.9495391306319292,25,linear
0.5,shap,magnitude,0.8306733650625769,0.844,4.125081934961289e-05,0.9503629658584004,25,linear
0.1,shap,directional,0.8097528644456194,0.7286666666666666,0.0001070762555781,0.9424249938823376,25,linear
0.3,shap,directional,0.9066576767142605,0.8986666666666667,1.4519644238624536e-05,0.9495391306319292,25,linear
0.5,shap,directional,0.8306733650625769,0.844,4.125081934961289e-05,0.9503629658584004,25,linear
0.1,pfi,magnitude,0.643555036163415,0.6253333333333333,8.322045093590371e-05,0.95624825341877,25,linear
0.3,pfi,magnitude,0.7597873711388473,0.7059999999999998,4.108952918087656e-05,0.9618992932663276,25,linear
0.5,pfi,magnitude,0.6748267653561973,0.646,4.331069367202804e-05,0.961598720173608,25,linear
0.1,pfi,directional,0.5869289317060699,0.6253333333333333,0.0001553847027761,0.9346756372271569,25,linear
0.3,pfi,directional,0.6710383957536736,0.7059999999999998,8.777805455949002e-05,0.9442643107673496,25,linear
0.5,pfi,directional,0.6383761791233731,0.646,8.350833321045879e-05,0.9460686829591178,25,linear
