ratio,method,variant,mean_rank_corr,mean_topk_overlap,mean_magnitude_var,mean_dispersion,n_folds
0.1,shap,magnitude,0.649535459101536,0.6539999999999999,0.00019000182033127345,0.9378620906305463,25
0.3,shap,magnitude,0.8358656226015218,0.8013333333333331,5.6504318914676215e-05,0.9398635177417367,25
0.5,shap,magnitude,0.710298793859176,0.7146666666666666,0.00010802665703229215,0.9333602963164693,25
0.1,shap,directional,0.649535459101536,0.6539999999999999,0.00019000182033127345,0.9378620906305463,25
0.3,shap,directional,0.8358656226015218,0.8013333333333331,5.6504318914676215e-05,0.9398635177417367,25
0.5,shap,directional,0.710298793859176,0.7146666666666666,0.00010802665703229215,0.9333602963164693,25
0.1,pfi,magnitude,0.5746507870632434,0.5446666666666666,9.659301031379123e-05,0.9494820683520203,25
0.3,pfi,magnitude,0.6972567066415466,0.7213333333333333,4.36528661679126e-05,0.9486591668643837,25
0.5,pfi,magnitude,0.6025435350512817,0.7013333333333333,7.498498019758869e-05,0.9417371072194862,25
0.1,pfi,directional,0.5100071454859014,0.5446666666666666,0.00016205257058810643,0.9273294264776923,25
0.3,pfi,directional,0.6249837925984807,0.7213333333333333,6.935037835919173e-05,0.931102619776128,25
0.5,pfi,directional,0.5439643288366455,0.7013333333333333,0.00010896993584585257,0.9223199271391488,25
